user_id,item_id,rating,timestamp,user_id_enc,item_id_enc,interaction
807,1411,1,893082619,806,1410,0
474,659,5,887925187,473,658,1
463,268,4,877384940,462,267,1
139,286,4,879537844,138,285,1
621,751,4,883799651,620,750,1
264,137,3,886122892,263,136,0
262,219,3,879794206,261,218,0
7,300,4,891350703,6,299,1
653,393,2,880152426,652,392,0
235,198,3,889655044,234,197,0
338,189,4,879438449,337,188,1
592,307,4,882607528,591,306,1
405,1478,1,885546636,404,1477,0
394,176,5,881130008,393,175,1
325,1411,4,891478981,324,1410,1
74,272,5,888333194,73,271,1
727,474,3,883710910,726,473,0
457,458,3,882393765,456,457,0
880,793,4,880174677,879,792,1
573,492,4,885843964,572,491,1
178,11,5,882826162,177,10,1
405,994,1,885549746,404,993,0
299,474,5,877880474,298,473,1
919,815,2,875289533,918,814,0
218,1073,5,881288265,217,1072,1
15,111,4,879455914,14,110,1
749,238,3,878847863,748,237,0
610,275,4,888703453,609,274,1
343,135,5,876404568,342,134,1
478,137,4,889398260,477,136,1
870,1267,2,879270213,869,1266,0
938,151,4,891356679,937,150,1
2,300,4,888979197,1,299,1
932,514,5,891249932,931,513,1
191,332,2,891562090,190,331,0
680,25,4,876816310,679,24,1
689,151,3,876676501,688,150,0
767,187,4,891462658,766,186,1
262,278,3,879790741,261,277,0
241,310,4,887249576,240,309,1
363,370,3,891500269,362,369,0
692,476,3,876953279,691,475,0
6,498,4,883601053,5,497,1
215,134,4,891435266,214,133,1
58,50,4,884304328,57,49,1
580,222,3,884125292,579,221,0
181,1296,1,878962006,180,1295,0
454,492,3,888266643,453,491,0
643,674,3,891449901,642,673,0
693,218,4,875483473,692,217,1
838,72,4,887067162,837,71,1
99,409,2,885679411,98,408,0
488,200,2,891294606,487,199,0
7,268,3,891350703,6,267,0
697,1067,5,882622170,696,1066,1
772,315,5,889028363,771,314,1
42,409,3,881106270,41,408,0
561,217,3,885810858,560,216,0
247,1022,4,893097024,246,1021,1
108,471,2,879880076,107,470,0
487,282,4,883442105,486,281,1
568,494,4,877907835,567,493,1
178,1016,4,882824253,177,1015,1
308,193,3,887737837,307,192,0
397,178,5,885349759,396,177,1
158,510,3,880134296,157,509,0
806,47,4,882387563,805,46,1
712,232,3,874956903,711,231,0
693,210,3,875484044,692,209,0
610,606,5,888703343,609,605,1
604,443,3,883668352,603,442,0
470,221,4,879178370,469,220,1
584,114,4,885778238,583,113,1
312,1172,5,891699538,311,1171,1
820,264,3,887955180,819,263,0
455,508,4,882141385,454,507,1
316,323,1,880853152,315,322,0
868,726,2,877109926,867,725,0
152,944,4,882476632,151,943,1
450,612,4,882396564,449,611,1
809,333,3,891036903,808,332,0
320,233,4,884749281,319,232,1
896,225,1,887161518,895,224,0
379,621,4,880525815,378,620,1
486,883,3,879874388,485,882,0
561,234,3,885808824,560,233,0
235,483,5,889655204,234,482,1
393,154,2,887746302,392,153,0
637,408,5,882901355,636,407,1
254,15,3,886471307,253,14,0
869,282,3,884490987,868,281,0
427,680,5,879701326,426,679,1
264,1009,4,886124417,263,1008,1
918,433,2,891987082,917,432,0
158,229,3,880134532,157,228,0
766,435,3,891309053,765,434,0
287,941,3,875335424,286,940,0
917,248,4,882912385,916,247,1
276,943,4,883822485,275,942,1
387,52,5,886483497,386,51,1
450,616,4,882373597,449,615,1
268,151,3,875742470,267,150,0
357,841,3,878951918,356,840,0
334,347,3,891547445,333,346,0
425,27,3,878738695,424,26,0
845,896,3,885409374,844,895,0
943,318,3,888639093,942,317,0
554,276,3,876548886,553,275,0
293,507,4,888905665,292,506,1
292,56,5,881105373,291,55,1
608,655,5,880405395,607,654,1
254,649,1,886474619,253,648,0
881,521,4,876537870,880,520,1
406,482,5,879446588,405,481,1
691,79,5,875543025,690,78,1
60,207,3,883327342,59,206,0
881,88,3,876538595,880,87,0
332,684,5,888360370,331,683,1
568,1203,5,877907281,567,1202,1
70,161,3,884067638,69,160,0
7,391,3,892132943,6,390,0
487,820,3,883444884,486,819,0
632,679,4,879459321,631,678,1
916,195,3,880844920,915,194,0
886,1217,4,876033602,885,1216,1
664,732,3,876525315,663,731,0
234,40,2,892335894,233,39,0
144,194,5,888105287,143,193,1
933,168,3,874853869,932,167,0
606,138,3,880927923,605,137,0
560,321,3,879975151,559,320,0
303,514,5,879466667,302,513,1
314,1152,4,877887469,313,1151,1
500,133,3,883875681,499,132,0
433,474,3,880585759,432,473,0
634,274,3,876170992,633,273,0
825,508,4,880756725,824,507,1
407,519,4,875042466,406,518,1
897,465,5,879992030,896,464,1
716,95,4,879794775,715,94,1
524,520,3,884637314,523,519,0
36,873,3,882157386,35,872,0
720,872,3,891262780,719,871,0
536,195,4,882359431,535,194,1
452,603,4,887718667,451,602,1
21,551,3,874951898,20,550,0
324,273,5,880575449,323,272,1
381,225,3,892697495,380,224,0
650,72,2,891386755,649,71,0
181,146,1,878962955,180,145,0
38,400,1,892434036,37,399,0
689,471,4,876676433,688,470,1
169,483,3,891359200,168,482,0
91,616,4,891439439,90,615,1
1,83,3,875072370,0,82,0
160,640,3,876860808,159,639,0
299,1141,4,877880522,298,1140,1
357,473,3,878951831,356,472,0
206,332,3,888179602,205,331,0
802,196,3,875985239,801,195,0
640,214,5,874778274,639,213,1
160,135,4,876860807,159,134,1
588,208,3,890023879,587,207,0
177,1110,3,880131123,176,1109,0
42,451,2,881108982,41,450,0
201,656,4,884111775,200,655,1
815,65,5,878694664,814,64,1
59,125,3,888203658,58,124,0
849,406,4,879695125,848,405,1
716,180,3,879794815,715,179,0
314,763,5,877886706,313,762,1
222,732,4,878183425,221,731,1
145,106,4,875270655,144,105,1
868,662,2,877103714,867,661,0
425,318,2,878737841,424,317,0
370,435,3,879434999,369,434,0
554,1012,3,876231839,553,1011,0
6,531,4,883600747,5,530,1
94,186,4,891722278,93,185,1
567,504,4,882425874,566,503,1
285,151,5,890595636,284,150,1
450,1249,3,882812821,449,1248,0
109,755,5,880578814,108,754,1
63,306,3,875746948,62,305,0
641,64,4,879370337,640,63,1
702,300,3,885767461,701,299,0
279,80,4,875313750,278,79,1
829,192,5,881712519,828,191,1
239,288,2,889178513,238,287,0
617,635,4,883789716,616,634,1
916,421,5,880844291,915,420,1
